KINDCODE,DAMAGEDATE,REPORTDATE,ENDCASEDATE,inc,policycode,claimcode
三者险,03JAN2016:09:50:00,03JAN2016:09:51:00,03JAN2016:17:01:35,0,P7777,C1925
车损险,11JAN2016:15:21:00,11JAN2016:15:22:00,18JAN2016:14:12:46,1680,P7751,C1926
车损险,14JAN2016:14:35:00,14JAN2016:14:37:00,19JAN2016:18:39:11,8940,P7794,C1927
三者险,14JAN2016:14:35:00,14JAN2016:14:37:00,19JAN2016:18:39:11,600,P7794,C1927
车损险,17JAN2016:21:11:00,17JAN2016:21:12:00,18JAN2016:18:35:08,600,P7766,C1928
三者险,26JAN2016:13:30:00,26JAN2016:13:34:00,26JAN2016:16:54:57,0,P7762,C1929
车损险,24JAN2016:14:20:00,24JAN2016:14:25:00,29JAN2016:17:38:56,6700,P7763,C1930
车损险,05FEB2016:17:40:00,05FEB2016:17:44:00,05FEB2016:20:23:22,800,P7755,C1931
三者险,05FEB2016:17:40:00,05FEB2016:17:44:00,05FEB2016:20:23:22,0,P7755,C1931
三者险,02MAR2016:10:45:00,02MAR2016:10:48:00,02MAR2016:13:38:51,0,P7819,C1932
车损险,03MAR2016:08:30:00,03MAR2016:08:40:00,03MAR2016:21:17:13,1980,P7799,C1933
车损险,16MAR2016:19:40:00,16MAR2016:19:43:00,21MAR2016:13:33:11,300,P7783,C1934
三者险,16MAR2016:19:40:00,16MAR2016:19:43:00,21MAR2016:13:33:11,0,P7783,C1934
车损险,02APR2016:15:10:00,02APR2016:15:16:00,02APR2016:23:59:16,0,P7813,C1935
车损险,03APR2016:15:10:00,03APR2016:15:14:00,29APR2016:16:34:40,5800,P7791,C1936
三者险,03APR2016:15:10:00,03APR2016:15:14:00,29APR2016:16:34:40,8500,P7791,C1936
三者险,06JUN2016:08:30:00,06JUN2016:08:37:00,08JUN2016:09:29:02,0,P7835,C1937
三者险,13JUL2016:17:45:00,13JUL2016:17:50:00,14JUL2016:17:26:48,0,P7819,C1938
车损险,15JUL2016:06:00:00,15JUL2016:06:23:00,22JUL2016:14:07:51,11500,P7810,C1939
三者险,15JUL2016:06:00:00,15JUL2016:06:23:00,22JUL2016:14:07:51,0,P7810,C1939
车损险,28JUL2016:08:30:00,28JUL2016:08:34:00,28JUL2016:14:10:40,800,P7793,C1940
车损险,13AUG2016:12:35:00,13AUG2016:12:37:00,18AUG2016:15:45:48,2800,P7823,C1941
三者险,13AUG2016:12:35:00,13AUG2016:12:37:00,18AUG2016:15:45:48,900,P7823,C1941
车损险,15AUG2016:14:00:00,15AUG2016:14:08:00,15AUG2016:14:54:58,1302,P7788,C1942
车损险,30OCT2016:08:10:00,30OCT2016:08:14:00,31OCT2016:18:18:29,6800,P7834,C1943
车损险,26NOV2016:20:00:00,26NOV2016:20:17:00,28NOV2016:14:48:50,0,P7810,C1944
三者险,26NOV2016:20:00:00,26NOV2016:20:17:00,28NOV2016:14:48:50,0,P7810,C1944
车损险,25DEC2016:21:00:00,26DEC2016:12:29:00,28DEC2016:11:12:18,22139,P7826,C1945
三者险,26DEC2016:19:20:00,26DEC2016:19:22:00,26DEC2016:20:31:44,0,P7812,C1946
车损险,15JAN2017:09:50:00,15JAN2017:09:55:00,15JAN2017:15:08:48,1100,P7818,C1947
车损险,03FEB2017:17:40:00,03FEB2017:17:46:00,28MAR2017:08:53:19,0,P7832,C1948
三者险,03FEB2017:17:40:00,03FEB2017:17:46:00,28MAR2017:08:53:19,3333,P7832,C1948
三者险,23APR2017:13:20:00,23APR2017:13:23:00,23APR2017:18:13:52,0,P7836,C1949
车损险,23APR2017:13:20:00,23APR2017:13:23:00,23APR2017:18:13:52,2850,P7836,C1949
车损险,18NOV2016:12:10:00,18NOV2016:12:17:00,18NOV2016:17:18:17,2800,P7862,C1950
三者险,18NOV2016:12:10:00,18NOV2016:12:17:00,18NOV2016:17:18:17,0,P7862,C1950
车损险,25FEB2017:16:10:00,25FEB2017:16:17:00,25FEB2017:17:23:40,1700,P7869,C1951
三者险,25FEB2017:16:10:00,25FEB2017:16:17:00,25FEB2017:17:23:40,0,P7869,C1951
三者险,02MAY2017:22:30:00,02MAY2017:22:36:00,03MAY2017:11:23:20,0,P7869,C1952
车损险,19MAY2017:18:30:00,19MAY2017:19:23:00,20MAY2017:16:01:44,1120,P7873,C1953
三者险,01JUN2017:16:50:00,01JUN2017:16:57:00,02JUN2017:14:26:33,0,P7857,C1954
交强险,31AUG2014:18:10:00,31AUG2014:18:17:00,31AUG2014:20:13:31,0,P7922,C1955
交强险,03OCT2014:08:30:00,03OCT2014:08:37:00,03OCT2014:20:04:21,300,P7924,C1956
交强险,22OCT2014:09:20:00,22OCT2014:09:28:00,22OCT2014:18:39:42,1889,P7906,C1957
交强险,21NOV2014:07:10:00,21NOV2014:07:20:00,21NOV2014:10:41:55,700,P7905,C1958
交强险,15DEC2014:19:15:00,15DEC2014:19:17:00,16DEC2014:14:51:06,1200,P7928,C1959
交强险,10JAN2015:10:50:00,10JAN2015:10:59:00,10JAN2015:18:26:06,1880,P7913,C1960
交强险,31JAN2015:12:10:00,31JAN2015:12:19:00,31JAN2015:15:08:02,900,P7903,C1961
交强险,23FEB2015:22:35:00,23FEB2015:22:38:00,24FEB2015:17:37:06,300,P7930,C1962
交强险,08MAR2015:16:55:00,08MAR2015:17:02:00,10MAR2015:12:25:22,2000,P7947,C1963
交强险,07APR2015:19:35:00,07APR2015:19:42:00,09APR2015:16:51:18,2100,P7919,C1964
交强险,21MAY2015:08:05:00,21MAY2015:08:12:00,21MAY2015:10:59:28,900,P7930,C1965
交强险,27JUL2015:10:40:00,27JUL2015:10:45:00,27JUL2015:14:36:58,600,P7922,C1966
交强险,15SEP2015:16:10:00,15SEP2015:16:17:00,16SEP2015:18:43:03,940,P7958,C1967
交强险,10OCT2015:08:40:00,10OCT2015:08:46:00,12OCT2015:15:27:45,900,P7972,C1968
交强险,10OCT2015:18:35:00,10OCT2015:18:41:00,16OCT2015:17:20:26,960,P7945,C1969
交强险,14OCT2015:19:30:00,14OCT2015:19:32:00,16OCT2015:09:09:06,1500,P7963,C1970
交强险,28NOV2015:14:30:00,28NOV2015:14:32:00,29NOV2015:10:57:12,1700,P7940,C1971
交强险,08DEC2015:08:04:00,08DEC2015:08:04:00,08DEC2015:17:02:50,500,P7980,C1972
交强险,27MAR2016:22:10:00,27MAR2016:22:18:00,28MAR2016:14:44:15,1780,P7965,C1973
交强险,29APR2016:15:40:00,29APR2016:15:49:00,01JUN2016:11:16:32,12817.33,P7968,C1974
交强险,13MAY2016:12:50:00,13MAY2016:12:57:00,16MAY2016:09:51:16,2100,P7974,C1975
交强险,11JUN2016:09:04:00,11JUN2016:09:09:00,11JUN2016:10:12:50,500,P7986,C1976
交强险,11JUN2016:13:40:00,11JUN2016:13:44:00,11JUN2016:17:42:52,1600,P7980,C1977
交强险,13JUN2016:07:30:00,13JUN2016:07:34:00,14JUN2017:09:25:48,109502,P7964,C1978
交强险,19JUL2016:06:40:00,19JUL2016:06:50:00,19JUL2016:19:43:39,1300,P7985,C1979
交强险,05AUG2016:15:25:00,05AUG2016:15:27:00,09AUG2016:16:01:49,2000,P7978,C1980
交强险,13OCT2016:11:05:00,13OCT2016:11:12:00,20OCT2016:10:06:06,5640,P7978,C1981
交强险,29NOV2016:10:50:00,29NOV2016:10:53:00,29NOV2016:15:15:22,800,P8011,C1982
交强险,08DEC2016:12:30:00,08DEC2016:12:38:00,09DEC2016:17:23:05,1220,P8008,C1983
交强险,30DEC2016:13:20:00,30DEC2016:13:30:00,11JAN2017:14:31:52,2000,P8010,C1984
交强险,16JAN2017:16:35:00,16JAN2017:16:42:00,16JAN2017:19:27:37,1000,P7984,C1985
交强险,08FEB2017:17:18:00,08FEB2017:17:28:00,27MAR2017:13:38:12,2200,P8000,C1986
交强险,20FEB2017:09:00:00,20FEB2017:09:05:00,23MAR2017:17:00:32,2000,P7990,C1987
交强险,08MAY2017:09:10:00,08MAY2017:09:24:00,10MAY2017:08:35:52,2000,P8003,C1988
交强险,11JUN2017:17:00:00,11JUN2017:17:04:00,13JUN2017:17:56:27,1700,P8038,C1989
车损险,03JUL2015:13:40:00,03JUL2015:13:41:00,04JUL2015:15:23:12,986.8,P8041,C1990
车损险,10OCT2015:18:35:00,10OCT2015:18:41:00,16OCT2015:17:21:07,2122,P8041,C1991
三者险,10OCT2015:18:35:00,10OCT2015:18:41:00,16OCT2015:17:21:07,0,P8041,C1991
车损险,15MAR2014:12:00:00,15MAR2014:12:30:00,15MAR2014:18:03:55,1350,P8045,C1992
车损险,09JUL2014:08:00:00,09JUL2014:08:02:00,09JUL2014:09:29:04,700,P8057,C1993
三者险,31AUG2014:18:10:00,31AUG2014:18:17:00,31AUG2014:20:13:31,0,P8063,C1994
车损险,03OCT2014:08:30:00,03OCT2014:08:37:00,03OCT2014:20:04:21,1300,P8065,C1995
三者险,03OCT2014:08:30:00,03OCT2014:08:37:00,03OCT2014:20:04:21,0,P8065,C1995
车损险,07OCT2014:18:15:00,07OCT2014:18:20:00,08OCT2014:15:59:04,2050,P8066,C1996
三者险,07OCT2014:18:15:00,07OCT2014:18:20:00,08OCT2014:15:59:04,0,P8066,C1996
车损险,15OCT2014:08:30:00,15OCT2014:08:35:00,15OCT2014:09:37:16,0,P8063,C1997
三者险,22OCT2014:09:20:00,22OCT2014:09:28:00,22OCT2014:18:39:42,0,P8046,C1998
车损险,21NOV2014:07:10:00,21NOV2014:07:20:00,21NOV2014:10:41:55,1100,P8045,C1999
三者险,21NOV2014:07:10:00,21NOV2014:07:20:00,21NOV2014:10:41:55,0,P8045,C1999
车损险,18NOV2014:11:15:00,18NOV2014:11:22:00,23NOV2014:10:23:58,4900,P8064,C2000
车损险,25NOV2014:08:05:00,25NOV2014:08:11:00,25NOV2014:13:22:34,0,P8059,C2001
车损险,15DEC2014:19:15:00,15DEC2014:19:17:00,16DEC2014:14:51:06,1500,P8069,C2002
三者险,15DEC2014:19:15:00,15DEC2014:19:17:00,16DEC2014:14:51:06,0,P8069,C2002
车损险,31DEC2014:16:00:00,31DEC2014:16:09:00,31DEC2014:17:55:40,0,P8078,C2003
车损险,10JAN2015:10:50:00,10JAN2015:10:59:00,10JAN2015:18:26:06,1000,P8054,C2004
三者险,10JAN2015:10:50:00,10JAN2015:10:59:00,10JAN2015:18:26:06,0,P8054,C2004
车损险,16JAN2015:15:40:00,16JAN2015:15:48:00,16JAN2015:19:18:15,800,P8055,C2005
车损险,31JAN2015:12:10:00,31JAN2015:12:19:00,31JAN2015:15:08:02,1220,P8043,C2006
三者险,31JAN2015:12:10:00,31JAN2015:12:19:00,31JAN2015:15:08:02,0,P8043,C2006
车损险,23FEB2015:22:35:00,23FEB2015:22:38:00,24FEB2015:17:37:06,400,P8071,C2007
三者险,23FEB2015:22:35:00,23FEB2015:22:38:00,24FEB2015:17:37:06,0,P8071,C2007
三者险,08MAR2015:16:55:00,08MAR2015:17:01:00,10MAR2015:12:24:46,1900,P8086,C2008
车损险,07APR2015:19:35:00,07APR2015:19:42:00,09APR2015:16:51:59,2600,P8060,C2009
三者险,07APR2015:19:35:00,07APR2015:19:42:00,09APR2015:16:51:59,2120,P8060,C2009
车损险,01MAY2015:07:33:00,01MAY2015:07:35:00,03MAY2015:18:45:33,800,P8070,C2010
车损险,04MAY2015:12:10:00,04MAY2015:12:15:00,04MAY2015:17:08:34,896,P8069,C2011
玻璃破碎险,05MAY2015:15:24:00,05MAY2015:15:25:00,06MAY2015:00:02:12,750,P8055,C2012
车损险,21MAY2015:08:05:00,21MAY2015:08:12:00,21MAY2015:10:59:28,700,P8071,C2013
三者险,21MAY2015:08:05:00,21MAY2015:08:12:00,21MAY2015:10:59:28,0,P8071,C2013
车损险,24MAY2015:17:35:00,24MAY2015:17:40:00,25MAY2015:13:33:08,0,P8075,C2014
车损险,27MAY2015:07:55:00,27MAY2015:07:57:00,27MAY2015:17:43:40,700,P8054,C2015
车损险,27JUL2015:10:40:00,27JUL2015:10:45:00,27JUL2015:14:36:58,1250,P8063,C2016
三者险,27JUL2015:10:40:00,27JUL2015:10:45:00,27JUL2015:14:36:58,0,P8063,C2016
车损险,10AUG2015:14:35:00,10AUG2015:14:41:00,10AUG2015:18:30:20,1500,P8076,C2017
三者险,15SEP2015:16:10:00,15SEP2015:16:17:00,16SEP2015:18:43:03,0,P8098,C2018
车损险,15SEP2015:16:10:00,15SEP2015:16:17:00,16SEP2015:18:43:03,1340,P8098,C2018
车损险,04OCT2015:21:30:00,04OCT2015:21:38:00,28OCT2015:10:04:44,26150,P8099,C2019
车损险,07OCT2015:07:35:00,07OCT2015:08:35:00,08OCT2015:16:00:30,600,P8108,C2020
车损险,10OCT2015:08:40:00,10OCT2015:08:46:00,12OCT2015:15:27:45,1560,P8112,C2021
三者险,10OCT2015:08:40:00,10OCT2015:08:46:00,12OCT2015:15:27:45,0,P8112,C2021
车损险,14OCT2015:19:30:00,14OCT2015:19:32:00,16OCT2015:09:09:06,1500,P8103,C2022
三者险,14OCT2015:19:30:00,14OCT2015:19:32:00,16OCT2015:09:09:06,0,P8103,C2022
车损险,15OCT2015:00:30:00,15OCT2015:12:08:00,22OCT2015:09:22:42,7150,P8104,C2023
车损险,26OCT2015:08:30:00,26OCT2015:08:42:00,26OCT2015:09:54:59,1100,P8101,C2024
车损险,31OCT2015:08:35:00,31OCT2015:08:37:00,31OCT2015:15:39:42,1300,P8096,C2025
三者险,08DEC2015:08:04:00,08DEC2015:08:04:00,08DEC2015:17:02:50,0,P8120,C2026
车损险,19JAN2016:14:30:00,19JAN2016:14:34:00,20JAN2016:12:05:08,1200,P8108,C2027
车损险,24MAR2016:08:10:00,24MAR2016:09:56:00,24MAR2016:11:37:32,700,P8102,C2028
车损险,27MAR2016:22:10:00,27MAR2016:22:18:00,28MAR2016:14:44:15,2000,P8105,C2029
三者险,27MAR2016:22:10:00,27MAR2016:22:18:00,28MAR2016:14:44:15,0,P8105,C2029
车损险,29APR2016:15:40:00,29APR2016:15:49:00,01JUN2016:11:16:32,1985.2,P8108,C2030
三者险,29APR2016:15:40:00,29APR2016:15:49:00,01JUN2016:11:16:32,0,P8108,C2030
车损险,13MAY2016:12:50:00,13MAY2016:12:57:00,16MAY2016:09:51:23,300,P8114,C2031
三者险,13MAY2016:12:50:00,13MAY2016:12:57:00,16MAY2016:09:51:23,1500,P8114,C2031
车损险,18MAY2016:08:55:00,18MAY2016:09:02:00,18MAY2016:09:52:06,1000,P8095,C2032
三者险,11JUN2016:09:04:00,11JUN2016:09:09:00,11JUN2016:10:12:50,0,P8126,C2033
三者险,11JUN2016:13:40:00,11JUN2016:13:44:00,11JUN2016:17:42:52,0,P8120,C2034
三者险,13JUN2016:07:30:00,13JUN2016:07:34:00,14JUN2017:09:25:48,1912,P8104,C2035
车损险,13JUN2016:07:30:00,13JUN2016:07:34:00,14JUN2017:09:25:48,4200,P8104,C2035
车损险,19JUL2016:06:40:00,19JUL2016:06:50:00,19JUL2016:19:43:39,600,P8125,C2036
三者险,19JUL2016:06:40:00,19JUL2016:06:50:00,19JUL2016:19:43:39,0,P8125,C2036
车损险,05AUG2016:15:25:00,05AUG2016:15:27:00,09AUG2016:16:01:49,2555,P8118,C2037
三者险,05AUG2016:15:25:00,05AUG2016:15:27:00,09AUG2016:16:01:49,0,P8118,C2037
车损险,28SEP2016:18:15:00,28SEP2016:18:17:00,29SEP2016:10:27:25,1500,P8139,C2038
三者险,13OCT2016:11:05:00,13OCT2016:11:12:00,20OCT2016:10:06:06,0,P8118,C2039
车损险,08FEB2017:17:18:00,08FEB2017:17:28:00,27MAR2017:13:38:12,8850,P8140,C2040
三者险,08FEB2017:17:18:00,08FEB2017:17:28:00,27MAR2017:13:38:12,11680,P8140,C2040
车损险,20FEB2017:09:00:00,20FEB2017:09:05:00,23MAR2017:17:01:08,2160,P8130,C2041
三者险,20FEB2017:09:00:00,20FEB2017:09:05:00,23MAR2017:17:01:08,270,P8130,C2041
三者险,08MAY2017:09:10:00,08MAY2017:09:24:00,10MAY2017:08:35:52,0,P8143,C2042
车损险,24MAY2017:18:10:00,24MAY2017:18:15:00,25MAY2017:08:22:52,1300,P8139,C2043
车损险,24SEP2016:10:10:00,24SEP2016:10:16:00,24SEP2016:13:09:03,1700,P8148,C2044
三者险,29NOV2016:10:50:00,29NOV2016:10:53:00,29NOV2016:15:15:35,0,P8150,C2045
车损险,08DEC2016:12:30:00,08DEC2016:12:38:00,09DEC2016:17:23:06,2440,P8148,C2046
三者险,08DEC2016:12:30:00,08DEC2016:12:38:00,09DEC2016:17:23:06,0,P8148,C2046
车损险,18DEC2016:14:00:00,19DEC2016:09:49:00,19DEC2016:11:18:47,1890,P8144,C2047
车损险,18JAN2017:17:15:00,18JAN2017:17:20:00,18JAN2017:17:46:50,1300,P8153,C2048
交强险,18JAN2014:08:01:00,18JAN2014:08:07:00,28JAN2014:15:11:23,2100,P8181,C2049
交强险,18APR2014:12:40:00,18APR2014:12:44:00,18APR2014:15:42:31,1100,P8222,C2050
交强险,18APR2014:17:15:00,18APR2014:17:18:00,19APR2014:14:51:49,900,P8195,C2051
交强险,26APR2014:18:35:00,26APR2014:18:42:00,27APR2014:11:49:45,1000,P8225,C2052
交强险,07MAY2014:15:00:00,07MAY2014:15:12:00,09MAY2014:14:20:36,900,P8204,C2053
交强险,29MAY2014:14:05:00,29MAY2014:14:12:00,29MAY2014:17:01:54,400,P8238,C2054
交强险,02JUN2014:10:25:00,02JUN2014:10:30:00,03JUN2014:09:40:27,0,P8195,C2055
交强险,12JUN2014:12:05:00,12JUN2014:12:11:00,07AUG2014:16:06:45,2000,P8208,C2056
交强险,08JUL2014:19:00:00,08JUL2014:19:04:00,16JUL2014:14:26:34,1900,P8222,C2057
交强险,26JUL2014:19:50:00,26JUL2014:19:53:00,27JUL2014:15:11:08,0,P8252,C2058
交强险,08AUG2014:22:20:00,08AUG2014:22:39:00,09AUG2014:18:52:32,1650,P8225,C2059
交强险,29AUG2014:10:30:00,29AUG2014:10:35:00,29AUG2014:17:44:38,1500,P8276,C2060
交强险,17SEP2014:06:40:00,17SEP2014:06:44:00,19SEP2014:13:51:36,1390,P8263,C2061
交强险,21SEP2014:10:15:00,21SEP2014:10:21:00,22SEP2014:13:54:18,2000,P8276,C2062
交强险,27SEP2014:17:00:00,27SEP2014:17:04:00,09OCT2014:08:43:10,500,P8286,C2063
交强险,29SEP2014:10:45:00,29SEP2014:10:51:00,29SEP2014:14:12:32,0,P8192,C2064
交强险,29SEP2014:08:00:00,29SEP2014:08:08:00,24DEC2014:14:16:57,2855,P8228,C2065
交强险,01OCT2014:08:50:00,01OCT2014:09:06:00,09OCT2014:13:44:10,1600,P8248,C2066
交强险,05OCT2014:12:30:00,05OCT2014:12:35:00,10OCT2014:14:53:08,2000,P8242,C2067
交强险,05OCT2014:19:25:00,05OCT2014:19:29:00,08OCT2014:08:55:50,1400,P8257,C2068
交强险,12OCT2014:12:00:00,12OCT2014:12:10:00,12OCT2014:22:06:58,550,P8198,C2069
交强险,20OCT2014:11:10:00,20OCT2014:11:16:00,20OCT2014:22:38:04,1000,P8204,C2070
交强险,26OCT2014:13:00:00,26OCT2014:13:04:00,26OCT2014:17:20:42,100,P8277,C2071
交强险,03NOV2014:20:10:00,03NOV2014:20:14:00,05NOV2014:14:33:35,0,P8312,C2072
交强险,20NOV2014:12:40:00,20NOV2014:12:48:00,21NOV2014:09:42:30,2100,P8347,C2073
交强险,24NOV2014:07:15:00,24NOV2014:07:22:00,24NOV2014:13:51:36,2100,P8293,C2074
交强险,09DEC2014:15:00:00,09DEC2014:15:06:00,19DEC2014:09:08:32,2837.91,P8296,C2075
交强险,17DEC2014:07:40:00,17DEC2014:07:45:00,17DEC2014:18:16:22,200,P8180,C2076
交强险,22DEC2014:13:00:00,22DEC2014:13:06:00,25DEC2014:09:07:10,1056,P8231,C2077
交强险,26DEC2014:11:25:00,26DEC2014:11:29:00,26DEC2014:19:12:47,200,P8259,C2078
交强险,28DEC2014:12:07:00,28DEC2014:12:07:00,28DEC2014:15:23:35,600,P8253,C2079
交强险,29DEC2014:09:45:00,29DEC2014:09:51:00,29DEC2014:12:29:29,0,P8214,C2080
交强险,30DEC2014:15:10:00,30DEC2014:15:16:00,03FEB2015:16:55:25,3363.73,P8223,C2081
交强险,03JAN2015:08:05:00,03JAN2015:08:09:00,03JAN2015:12:09:30,700,P8321,C2082
交强险,04JAN2015:18:35:00,04JAN2015:18:43:00,05JAN2015:15:03:32,1300,P8314,C2083
交强险,14JAN2015:06:55:00,14JAN2015:06:59:00,14JAN2015:14:00:06,0,P8318,C2084
交强险,12JAN2015:01:20:00,12JAN2015:10:50:00,05JUN2015:16:08:40,110000,P8363,C2085
交强险,26JAN2015:17:20:00,27JAN2015:09:50:00,27JAN2015:17:19:32,2000,P8393,C2086
交强险,05FEB2015:13:00:00,05FEB2015:13:10:00,28JUL2015:18:20:06,24907.76,P8311,C2087
交强险,12FEB2015:17:25:00,12FEB2015:17:34:00,12FEB2015:23:15:04,2000,P8301,C2088
交强险,13FEB2015:14:00:00,13FEB2015:14:04:00,14FEB2015:13:15:54,500,P8282,C2089
交强险,15FEB2015:15:20:00,15FEB2015:15:24:00,15FEB2015:18:37:57,800,P8314,C2090
交强险,15FEB2015:14:40:00,15FEB2015:14:41:00,23MAR2015:17:10:21,900,P8314,C2091
交强险,21FEB2015:10:24:00,21FEB2015:10:34:00,02APR2015:14:45:06,0,P8211,C2092
交强险,26FEB2015:08:20:00,26FEB2015:08:26:00,27FEB2015:16:20:44,1500,P8261,C2093
交强险,05MAR2015:21:20:00,05MAR2015:21:26:00,06MAR2015:18:26:59,1000,P8225,C2094
交强险,11MAR2015:08:30:00,11MAR2015:08:36:00,11MAR2015:12:32:57,1670,P8397,C2095
交强险,15MAR2015:13:50:00,15MAR2015:13:54:00,15MAR2015:17:06:10,800,P8252,C2096
交强险,11MAR2015:21:40:00,11MAR2015:21:57:00,03APR2015:16:50:36,21920,P8291,C2097
交强险,13MAR2015:17:40:00,13MAR2015:17:50:00,16MAR2015:14:11:44,600,P8401,C2098
交强险,19MAR2015:12:00:00,19MAR2015:12:08:00,20MAR2015:14:04:16,300,P8425,C2099
交强险,20MAR2015:17:15:00,20MAR2015:17:27:00,21JUN2015:17:13:29,29076,P8304,C2100
交强险,02APR2015:07:30:00,02APR2015:07:38:00,02APR2015:16:35:33,1500,P8268,C2101
交强险,06APR2015:12:30:00,06APR2015:12:44:00,10APR2015:17:02:54,2941.27,P8347,C2102
交强险,11APR2015:22:05:00,11APR2015:22:38:00,11APR2015:23:14:46,2000,P8364,C2103
交强险,10APR2015:13:40:00,10APR2015:13:49:00,17APR2015:14:08:34,850,P8387,C2104
交强险,20APR2015:14:45:00,20APR2015:14:53:00,20APR2015:15:52:39,500,P8435,C2105
交强险,21APR2015:11:15:00,21APR2015:11:20:00,21APR2015:21:13:52,1400,P8397,C2106
交强险,25APR2015:08:10:00,25APR2015:08:28:00,25APR2015:17:25:16,500,P8254,C2107
交强险,27APR2015:18:40:00,27APR2015:19:03:00,28APR2015:10:43:36,1500,P8345,C2108
交强险,29APR2015:15:30:00,30APR2015:09:27:00,30APR2015:20:46:13,2000,P8258,C2109
交强险,03JAN2015:16:30:00,05MAY2015:12:50:00,11MAY2015:15:44:19,17484.5,P8322,C2110
交强险,09MAY2015:12:35:00,09MAY2015:12:37:00,09MAY2015:17:18:54,1250,P8461,C2111
交强险,10MAY2015:14:30:00,11MAY2015:09:50:00,11MAY2015:15:33:47,950,P8258,C2112
交强险,08MAY2015:16:50:00,08MAY2015:17:05:00,12MAY2015:17:15:16,500,P8384,C2113
交强险,17MAY2015:17:28:00,17MAY2015:17:33:00,18MAY2015:14:30:16,2100,P8446,C2114
交强险,25MAY2015:08:00:00,25MAY2015:08:05:00,10JUN2015:11:54:32,1000,P8445,C2115
交强险,30MAY2015:08:55:00,30MAY2015:09:00:00,30MAY2015:22:39:42,1100,P8358,C2116
交强险,28MAY2015:18:20:00,28MAY2015:18:25:00,16JUN2015:20:12:45,891.93,P8312,C2117
交强险,03JUN2015:18:20:00,03JUN2015:18:24:00,04JUN2015:16:27:43,0,P8354,C2118
交强险,03JUN2015:13:10:00,03JUN2015:13:17:00,12JUN2015:13:34:16,450,P8376,C2119
交强险,15JUN2015:18:40:00,15JUN2015:18:42:00,16JUN2015:08:32:04,400,P8453,C2120
交强险,15JUN2015:13:25:00,15JUN2015:13:33:00,12AUG2015:17:12:40,2100,P8454,C2121
交强险,26JUN2015:13:30:00,26JUN2015:13:43:00,26JUN2015:18:34:14,1000,P8422,C2122
交强险,03JUL2015:09:20:00,03JUL2015:09:22:00,08JUL2015:17:39:18,2200,P8504,C2123
交强险,16JUL2015:10:10:00,16JUL2015:10:14:00,16JUL2015:22:11:44,1300,P8343,C2124
交强险,14JUL2015:17:45:00,14JUL2015:17:47:00,17JUL2015:17:47:32,900,P8373,C2125
交强险,28JUL2015:19:30:00,29JUL2015:14:45:00,06AUG2015:11:16:14,1562.43,P8385,C2126
交强险,20AUG2015:14:10:00,20AUG2015:14:17:00,20AUG2015:16:32:12,604,P8329,C2127
交强险,28AUG2015:16:30:00,31AUG2015:10:55:00,31AUG2015:12:37:08,900,P8532,C2128
交强险,07SEP2015:23:04:44,07SEP2015:23:06:03,08SEP2015:08:57:23,0,P8364,C2129
交强险,09SEP2015:21:05:00,09SEP2015:21:12:00,10SEP2015:20:30:33,1530,P8425,C2130
交强险,11SEP2015:08:10:00,11SEP2015:08:17:00,11SEP2015:11:00:00,820,P8528,C2131
交强险,13SEP2015:15:10:00,13SEP2015:15:19:00,14SEP2015:10:49:46,750,P8590,C2132
交强险,16SEP2015:07:50:00,16SEP2015:07:56:00,16SEP2015:09:25:14,600,P8377,C2133
交强险,15SEP2015:12:13:00,16SEP2015:11:27:00,16SEP2015:17:22:45,2000,P8470,C2134
交强险,17SEP2015:13:30:00,17SEP2015:13:40:00,17SEP2015:17:08:24,520,P8379,C2135
交强险,18SEP2015:15:45:00,18SEP2015:15:52:00,30SEP2015:18:51:15,1500,P8595,C2136
交强险,16SEP2015:21:00:00,16SEP2015:21:06:00,27OCT2015:16:57:05,14003,P8332,C2137
交强险,18SEP2015:20:13:00,18SEP2015:20:16:00,24SEP2015:15:40:53,2100,P8429,C2138
交强险,23SEP2015:08:00:00,23SEP2015:08:23:00,23SEP2015:09:47:15,900,P8428,C2139
交强险,24SEP2015:21:02:00,24SEP2015:21:02:00,24SEP2015:22:47:28,800,P8347,C2140
交强险,25SEP2015:08:55:00,25SEP2015:09:01:00,25SEP2015:14:47:45,500,P8345,C2141
交强险,05OCT2015:17:40:00,05OCT2015:17:47:00,02MAR2016:15:49:27,22154.8,P8346,C2142
交强险,16OCT2015:21:45:00,16OCT2015:21:49:00,16OCT2015:23:17:28,400,P8406,C2143
交强险,13OCT2015:13:09:00,13OCT2015:13:13:00,29DEC2015:10:57:46,90559.81,P8473,C2144
交强险,18OCT2015:16:50:00,18OCT2015:16:59:00,20OCT2015:13:40:27,750,P8403,C2145
交强险,25OCT2015:14:40:00,25OCT2015:14:47:00,26OCT2015:17:30:14,950,P8509,C2146
交强险,31OCT2015:18:30:00,01NOV2015:10:29:00,01NOV2015:12:32:42,1150,P8461,C2147
交强险,04NOV2015:18:05:00,04NOV2015:18:15:00,09NOV2015:12:17:48,2000,P8610,C2148
交强险,09NOV2015:08:30:00,09NOV2015:08:32:00,09NOV2015:20:00:58,700,P8613,C2149
交强险,11NOV2015:08:30:00,11NOV2015:08:45:00,11NOV2015:11:06:34,1000,P8518,C2150
交强险,07NOV2015:08:25:00,07NOV2015:08:29:00,28NOV2015:18:28:08,2200,P8437,C2151
