KINDCODE,DAMAGEDATE,REPORTDATE,ENDCASEDATE,inc,policycode,claimcode
划痕险,14MAY2014:15:30:00,14MAY2014:15:35:00,15MAY2014:11:19:54,1700,P590,C157
车损险,03JAN2015:13:00:00,04JAN2015:15:15:00,07FEB2015:17:36:39,20000,P591,C158
三者险,03JAN2015:13:00:00,04JAN2015:15:15:00,07FEB2015:17:36:39,79300,P591,C158
三者险,22APR2015:15:25:00,22APR2015:16:22:00,12JUN2015:13:58:16,62000,P592,C159
车损险,22APR2015:15:25:00,22APR2015:16:22:00,12JUN2015:13:58:16,2600,P592,C159
车损险,06JUN2015:08:40:00,06JUN2015:11:50:00,24JUN2015:11:29:34,1100,P591,C160
三者险,06JUN2015:08:40:00,06JUN2015:11:50:00,24JUN2015:11:29:34,8500,P591,C160
三者险,03JUL2015:08:30:00,03JUL2015:08:35:00,04JUL2015:13:43:39,320,P595,C161
划痕险,12SEP2015:22:00:00,13SEP2015:13:38:00,13SEP2015:15:35:45,1700,P592,C162
划痕险,28NOV2016:07:30:00,30NOV2016:11:02:00,30NOV2016:16:37:22,4250,P597,C163
车损险,17JAN2017:13:30:00,17JAN2017:13:39:00,17JAN2017:14:38:10,1900,P599,C164
三者险,17JAN2017:13:30:00,17JAN2017:13:39:00,17JAN2017:14:38:10,0,P599,C164
三者险,20JAN2017:08:20:00,20JAN2017:08:26:00,10FEB2017:10:09:46,0,P600,C165
车损险,30APR2014:07:40:00,30APR2014:16:25:00,28FEB2015:10:47:49,20080,P605,C166
三者险,30APR2014:07:40:00,30APR2014:16:25:00,28FEB2015:10:47:49,19400,P605,C166
车损险,17AUG2014:12:45:00,17AUG2014:12:53:00,23AUG2014:16:33:11,350,P616,C167
三者险,17AUG2014:12:45:00,17AUG2014:12:53:00,23AUG2014:16:33:11,0,P616,C167
车损险,05SEP2014:18:30:00,05SEP2014:18:33:00,20OCT2014:13:43:48,9570,P608,C168
三者险,05SEP2014:18:30:00,05SEP2014:18:33:00,20OCT2014:13:43:48,21000,P608,C168
三者险,21SEP2014:19:23:00,21SEP2014:19:23:00,21OCT2014:11:03:54,3300,P676,C169
车损险,21SEP2014:19:23:00,21SEP2014:19:23:00,21OCT2014:11:03:54,700,P676,C169
车损险,30SEP2014:15:30:00,30SEP2014:16:23:00,04OCT2014:22:48:47,600,P650,C170
车损险,11OCT2014:08:30:00,11OCT2014:08:35:00,11OCT2014:13:57:38,1100,P625,C171
车损险,22NOV2014:10:55:00,22NOV2014:11:03:00,24NOV2014:19:20:52,1700,P622,C172
车损险,25NOV2014:15:00:00,26NOV2014:10:20:00,26NOV2014:11:53:26,560,P614,C173
车损险,28NOV2014:11:50:00,28NOV2014:11:59:00,28NOV2014:19:24:42,1260,P609,C174
三者险,04DEC2014:20:00:00,05DEC2014:10:09:00,08DEC2014:00:55:20,0,P672,C175
车损险,04DEC2014:20:00:00,05DEC2014:10:09:00,08DEC2014:00:55:20,1100,P672,C175
车损险,07DEC2014:09:00:00,07DEC2014:11:28:00,07DEC2014:17:54:54,980,P637,C176
三者险,11DEC2014:11:10:00,11DEC2014:11:36:00,15DEC2014:09:32:29,0,P665,C177
车损险,11DEC2014:11:10:00,11DEC2014:11:36:00,15DEC2014:09:32:29,1100.88,P665,C177
划痕险,13DEC2014:10:45:00,13DEC2014:13:47:00,14DEC2014:22:00:49,1020,P684,C178
车损险,18DEC2014:21:20:00,18DEC2014:21:23:00,19DEC2014:20:34:08,650,P669,C179
三者险,29DEC2014:18:00:00,29DEC2014:18:20:00,30DEC2014:19:15:52,0,P684,C180
车损险,29DEC2014:18:00:00,29DEC2014:18:20:00,30DEC2014:19:15:52,2400,P684,C180
车损险,28JAN2015:08:40:00,28JAN2015:08:48:00,28JAN2015:10:51:49,700,P663,C181
三者险,28JAN2015:08:40:00,28JAN2015:08:48:00,28JAN2015:10:51:49,0,P663,C181
车损险,29JAN2015:08:00:00,29JAN2015:08:34:00,29JAN2015:11:36:44,600,P677,C182
车损险,29JAN2015:16:30:00,29JAN2015:16:57:00,27MAR2015:10:17:44,3600,P682,C183
三者险,29JAN2015:16:30:00,29JAN2015:16:57:00,27MAR2015:10:17:44,1500,P682,C183
三者险,06FEB2015:18:10:00,06FEB2015:18:16:00,28FEB2015:08:59:51,300,P644,C184
车损险,06FEB2015:18:10:00,06FEB2015:18:16:00,28FEB2015:08:59:51,5200,P644,C184
三者险,10FEB2015:08:40:00,10FEB2015:08:51:00,10FEB2015:10:57:03,0,P700,C185
车损险,10FEB2015:08:40:00,10FEB2015:08:51:00,10FEB2015:10:57:03,650,P700,C185
三者险,18FEB2015:11:25:00,18FEB2015:11:32:00,09MAR2015:15:51:40,1400,P661,C186
车损险,02MAR2015:11:00:00,02MAR2015:11:32:00,02MAR2015:13:42:51,0,P639,C187
车损险,03MAR2015:08:00:00,04MAR2015:14:27:00,04MAR2015:18:35:02,1778,P712,C188
车损险,09MAR2015:19:20:00,09MAR2015:19:29:00,17MAR2015:11:10:25,1690,P718,C189
三者险,09MAR2015:19:20:00,09MAR2015:19:29:00,17MAR2015:11:10:25,0,P718,C189
车损险,14MAR2015:17:30:00,14MAR2015:18:02:00,16MAR2015:10:44:23,0,P676,C190
车损险,18MAR2015:14:30:00,18MAR2015:14:47:00,18MAR2015:15:06:11,1330,P635,C191
划痕险,02APR2015:09:00:00,02APR2015:11:34:00,02APR2015:13:47:25,2125,P706,C192
三者险,29MAR2015:16:25:00,29MAR2015:16:33:00,10APR2015:17:48:03,12000,P701,C193
车损险,29MAR2015:16:25:00,29MAR2015:16:33:00,10APR2015:17:48:03,600,P701,C193
车损险,11APR2015:18:40:00,11APR2015:18:48:00,11APR2015:20:55:23,1400,P716,C194
三者险,11APR2015:18:40:00,11APR2015:18:48:00,11APR2015:20:55:23,0,P716,C194
车损险,14APR2015:12:10:00,14APR2015:12:20:00,14APR2015:13:46:26,1100,P670,C195
三者险,14APR2015:12:10:00,14APR2015:12:20:00,14APR2015:13:46:26,0,P670,C195
车损险,27APR2015:19:50:00,27APR2015:19:57:00,28APR2015:09:28:56,560,P666,C196
车损险,02MAY2015:08:45:00,02MAY2015:08:50:00,01JUN2015:17:30:19,1150,P640,C197
